seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,quartile,a_opt_advantage
10178,50,50,9.02,4.82,9.02,4.82,0,0,0,0.09808101505041122,Q3,-4.199999999999999
10179,50,50,9.34,5.72,10.44,4.6,5,0,0,0.10268361121416092,Q4 (high),-3.62
10180,50,50,10.82,4.7,11.24,4.22,2,0,0,0.10308422893285751,Q4 (high),-6.12
10181,50,50,10.12,4.9,10.42,4.58,2,0,0,0.09369904547929764,Q3,-5.219999999999999
10182,50,50,8.22,5.22,8.22,5.22,0,0,0,0.09500150382518768,Q3,-3.000000000000001
10183,50,50,7.7,5.94,8.04,4.88,3,0,0,0.090035080909729,Q2,-1.7599999999999998
10184,50,50,8.66,5.32,9.12,5.1,2,0,0,0.08837538212537766,Q2,-3.34
10185,50,50,8.52,5.4,9.4,4.0,4,0,0,0.10128160566091537,Q4 (high),-3.119999999999999
10186,50,50,9.02,5.22,9.56,4.74,4,0,0,0.09542127698659897,Q3,-3.8
10187,50,50,8.38,4.58,8.56,4.12,2,0,0,0.09405934065580368,Q3,-3.8000000000000007
10188,50,50,9.18,5.22,9.18,5.22,0,0,0,0.09249616414308548,Q2,-3.96
10189,50,50,7.1,5.38,7.1,5.38,0,0,0,0.08159901201725006,Q1 (low),-1.7199999999999998
10190,50,50,6.98,5.12,6.98,5.12,0,0,0,0.08273498713970184,Q1 (low),-1.8600000000000003
10191,50,50,7.72,5.24,7.72,5.24,0,0,0,0.09628885239362717,Q3,-2.4799999999999995
10192,50,50,8.62,3.16,8.62,3.16,0,0,0,0.10620477050542831,Q4 (high),-5.459999999999999
10193,50,50,8.04,4.62,8.54,4.2,2,0,0,0.08221838623285294,Q1 (low),-3.419999999999999
10194,50,50,7.64,5.92,7.64,5.92,0,0,0,0.08949114382266998,Q2,-1.7199999999999998
10195,50,50,9.56,5.72,9.56,5.72,0,0,0,0.10925885289907455,Q4 (high),-3.8400000000000007
10196,50,50,10.6,6.3,10.6,6.3,0,0,0,0.11739017814397812,Q4 (high),-4.3
10197,50,50,8.08,5.14,8.08,5.14,0,0,0,0.09063099324703217,Q2,-2.9400000000000004
10198,50,50,8.08,6.76,8.08,6.76,0,0,0,0.08541510254144669,Q1 (low),-1.3200000000000003
10199,50,50,7.2,5.72,7.2,5.72,0,0,0,0.07911387830972672,Q1 (low),-1.4800000000000004
10200,50,50,8.56,8.64,10.26,5.12,9,0,0,0.0792563334107399,Q1 (low),0.08000000000000007
10201,50,50,8.78,7.14,8.78,7.14,0,0,0,0.09641023725271225,Q3,-1.6399999999999997
10202,50,50,7.46,3.82,7.46,3.82,0,0,0,0.09787868708372116,Q3,-3.64
10203,50,50,7.42,4.12,7.42,4.12,0,0,0,0.08653773367404938,Q2,-3.3
10204,50,50,7.3,5.5,7.52,5.12,2,0,0,0.08384323865175247,Q1 (low),-1.7999999999999998
10205,50,50,8.62,5.7,8.62,5.7,0,0,0,0.0913095697760582,Q2,-2.919999999999999
10206,50,50,7.94,4.92,9.08,3.4,3,0,0,0.09572954475879669,Q3,-3.0200000000000005
