seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,trial
50064,50,50,9.22,6.02,10.2,4.2,6,0,0,0.1130221039056778,22
50065,50,50,6.7,4.26,6.7,4.26,0,0,0,0.08451556414365768,23
50066,50,50,8.14,6.42,8.38,5.68,3,0,0,0.0928623229265213,24
50067,50,50,8.24,4.44,8.24,4.44,0,0,0,0.10022123903036118,25
50068,50,50,6.8,3.74,6.8,3.74,0,0,0,0.08547034859657288,26
50069,50,50,8.86,4.88,8.86,4.88,0,0,0,0.09418848156929016,27
50070,50,50,7.88,5.22,7.88,5.22,0,0,0,0.08643746376037598,28
50071,50,50,8.12,5.84,8.12,5.84,0,0,0,0.0746045932173729,29
50072,50,50,6.74,5.44,6.84,5.32,2,0,0,0.07713010907173157,30
50073,50,50,8.72,4.72,8.72,4.72,0,0,0,0.09394282847642899,31
50074,50,50,7.0,4.68,7.0,4.68,0,0,0,0.07557833194732666,32
50075,50,50,7.74,4.9,7.74,4.9,0,0,0,0.10260415077209473,33
50076,50,50,8.2,5.08,8.2,5.08,0,0,0,0.09675375372171402,34
50077,50,50,7.4,6.4,7.4,6.4,0,0,0,0.08384715765714645,35
50078,50,50,7.8,4.7,7.8,4.7,0,0,0,0.09596400707960129,36
50079,50,50,7.62,4.04,7.62,4.04,0,0,0,0.10070334374904633,37
50080,50,50,6.26,5.16,6.26,5.16,0,0,0,0.0755048394203186,38
50081,50,50,8.36,4.78,8.68,4.24,3,0,0,0.09806101769208908,39
50082,50,50,8.4,5.44,8.64,5.24,2,0,0,0.09835947304964066,40
50083,50,50,7.6,5.22,7.6,5.22,0,0,0,0.08142857998609543,41
50084,50,50,8.62,5.82,8.72,5.18,2,0,0,0.09334912151098251,42
50085,50,50,8.08,5.46,8.08,5.46,0,0,0,0.08459887653589249,43
50086,50,50,8.22,5.5,8.48,4.9,2,0,0,0.09440959244966507,44
50087,50,50,5.96,5.56,6.98,4.32,4,0,0,0.0825962945818901,45
50088,50,50,6.78,5.02,6.78,5.02,0,0,0,0.08376474678516388,46
50089,50,50,12.14,6.72,12.72,6.46,3,0,0,0.1339610069990158,47
50090,50,50,6.06,4.68,6.06,4.68,0,0,0,0.08989298343658447,48
50091,50,50,6.98,5.28,7.58,4.26,3,0,0,0.087696872651577,49
50092,50,50,6.48,4.2,6.48,4.2,0,0,0,0.08297576755285263,50
50093,50,50,6.32,5.66,6.32,5.66,0,0,0,0.07561691105365753,51
50094,50,50,8.4,5.8,9.02,4.84,4,0,0,0.09742001444101334,52
50095,50,50,7.78,7.48,9.52,5.92,5,0,0,0.09351041913032532,53
50096,50,50,7.54,5.16,7.54,5.16,0,0,0,0.09284301102161407,54
50097,50,50,7.74,5.34,8.44,5.1,3,0,0,0.08261916041374207,55
50098,50,50,8.22,6.12,8.38,5.06,4,0,0,0.08990471065044403,56
50099,50,50,9.1,4.74,9.1,4.74,0,0,0,0.1106487587094307,57
50100,50,50,8.08,5.54,8.78,5.0,3,0,0,0.1029781922698021,58
50101,50,50,7.98,5.36,8.56,5.26,2,0,0,0.11093178391456604,59
50102,50,50,8.62,6.56,8.88,5.8,2,0,0,0.08748901635408401,60
50103,50,50,8.5,6.16,8.5,6.16,0,0,0,0.09837070852518082,61
50104,50,50,10.08,5.46,10.48,4.94,3,0,0,0.10394342243671417,62
50105,50,50,6.88,5.84,7.26,5.5,2,0,0,0.08239871263504028,63
50106,50,50,9.36,5.14,9.36,5.14,0,0,0,0.09938228875398636,64
50107,50,50,7.6,6.72,7.6,6.72,0,0,0,0.08018327504396439,65
50108,50,50,7.72,4.52,7.96,3.94,2,0,0,0.08917801827192307,66
50109,50,50,8.54,4.34,8.54,4.34,0,0,0,0.09122232347726822,67
50110,50,50,7.92,4.38,7.92,4.38,0,0,0,0.08527573198080063,68
50111,50,50,8.68,5.72,8.72,5.68,2,0,0,0.08069989085197449,69
50112,50,50,7.32,5.02,7.64,4.68,2,0,0,0.08622683584690094,70
50113,50,50,7.5,5.28,7.5,5.28,0,0,0,0.09458331763744354,71
50114,50,50,8.56,4.82,8.56,4.82,0,0,0,0.1045137569308281,72
50115,50,50,8.84,5.72,9.02,4.18,4,0,0,0.10519798845052719,73
50116,50,50,8.52,5.34,9.0,4.92,2,0,0,0.10196121782064438,74
50117,50,50,8.44,6.76,8.94,5.64,3,0,0,0.0936717689037323,75
50118,50,50,7.02,4.66,7.8,3.76,5,0,0,0.09006830304861069,76
50119,50,50,7.86,5.04,8.4,4.68,2,0,0,0.09364283829927444,77
50120,50,50,6.9,6.24,6.9,6.24,0,0,0,0.07632565498352051,78
50121,50,50,11.08,5.24,11.08,5.24,0,0,0,0.10462635010480881,79
50122,50,50,9.74,6.44,10.96,4.74,7,0,0,0.09710776805877686,80
50123,50,50,6.78,7.08,6.94,6.76,4,0,0,0.07867640256881714,81
50124,50,50,7.58,4.66,7.58,4.66,0,0,0,0.08050944656133652,82
50125,50,50,6.06,4.06,6.06,4.06,0,0,0,0.07171798497438431,83
50126,50,50,8.46,4.76,8.92,4.66,2,0,0,0.08553952723741531,84
50127,50,50,6.44,4.34,7.14,4.08,2,0,0,0.08217691630125046,85
50128,50,50,8.2,5.18,8.2,5.18,0,0,0,0.08457978814840317,86
50129,50,50,8.36,5.94,8.36,5.94,0,0,0,0.07966891676187515,87
50130,50,50,9.14,6.66,9.46,5.9,3,0,0,0.09257065504789352,88
50131,50,50,8.6,4.1,8.64,4.06,2,0,0,0.08743128925561905,89
50132,50,50,9.18,6.38,9.18,6.38,0,0,0,0.08609738200902939,90
50133,50,50,8.8,4.92,8.8,4.92,0,0,0,0.09516677260398865,91
50134,50,50,8.6,6.08,8.6,6.08,0,0,0,0.09409380704164505,92
50135,50,50,10.78,7.02,10.94,6.52,3,0,0,0.11104898154735565,93
50136,50,50,8.9,5.32,9.4,4.66,3,0,0,0.10788234323263168,94
50137,50,50,7.2,6.24,7.2,6.24,0,0,0,0.08855956047773361,95
50138,50,50,10.6,4.66,10.6,4.66,0,0,0,0.12197588384151459,96
50139,50,50,10.2,6.12,10.2,6.12,0,0,0,0.09406903386116028,97
50140,50,50,7.34,5.7,7.34,5.7,0,0,0,0.08751916885375977,98
50141,50,50,10.44,4.7,10.8,3.96,2,0,0,0.11248121410608292,99
100042,100,100,12.53,8.08,12.75,7.85,2,0,0,0.0892220288515091,0
100043,100,100,13.53,7.14,13.53,7.14,0,0,0,0.09061940759420395,1
100044,100,100,11.42,5.47,11.42,5.47,0,0,0,0.08365615457296371,2
100045,100,100,10.96,10.16,11.25,9.17,3,0,0,0.08161445707082748,3
100046,100,100,15.09,7.03,15.95,6.46,5,0,0,0.092813640832901,4
100047,100,100,11.19,7.4,11.29,7.26,2,0,0,0.08694183826446533,5
100048,100,100,12.04,8.54,13.14,6.43,5,0,0,0.0881383940577507,6
100049,100,100,15.34,10.83,16.33,9.77,7,0,0,0.0963423028588295,7
100050,100,100,11.74,7.84,12.91,7.29,4,0,0,0.08550451695919037,8
100051,100,100,15.85,6.72,17.29,5.52,7,0,0,0.10363214462995529,9
